model,time,zooplankton biomass (Pg C),phytoplankton biomass (Pg C),mixoplankton biomass (Pg C),size mean (μm),exp
6,136.5,0.12447886,0.10288176,0.36863708,42.182266,solar effect
6,137.5,0.123469025,0.10222276,0.36663696,41.971115,solar effect
6,138.5,0.12250331,0.101613864,0.36484504,41.78606,solar effect
6,139.5,0.12159436,0.10105358,0.36320522,41.615166,solar effect
6,140.5,0.120681524,0.100485936,0.36151415,41.42918,solar effect
6,141.5,0.119776115,0.09991988,0.35982412,41.239292,solar effect
6,142.5,0.118881665,0.09936704,0.3581429,41.045742,solar effect
6,143.5,0.117979705,0.09881484,0.35650718,40.856224,solar effect
6,144.5,0.11709845,0.09827423,0.354922,40.67313,solar effect
6,145.5,0.116245724,0.09775787,0.35340935,40.504154,solar effect
6,146.5,0.11542403,0.09725217,0.35190225,40.332153,solar effect
6,147.5,0.114644945,0.096772015,0.3504838,40.171566,solar effect
6,148.5,0.11390666,0.096310094,0.3490911,40.010105,solar effect
6,149.5,0.11319633,0.09585984,0.3477273,39.851635,solar effect
6,199.5,0.100432366,0.087045565,0.31991416,36.71843,solar effect
7,0.5,0.10015385,0.08929633,0.30355453,38.682323,solar effect
7,99.5,0.09210588,0.08051182,0.2978494,33.870495,solar effect
7,100.5,0.050284352,0.041637197,0.15593949,33.54111,solar effect
7,101.5,4.1769138e-07,1.559976e-07,9.473963e-07,84.91787,solar effect
7,102.5,1.5550755e-11,1.3458876e-11,1.885222e-11,20.24569,solar effect
7,103.5,3.7719627e-05,0.0016934721,0.0054863794,13.123073,solar effect
7,104.5,0.03384113,0.098035485,0.36628228,26.165798,solar effect
7,105.5,0.19729738,0.21093993,0.7618141,64.22217,solar effect
7,106.5,0.22270179,0.19495484,0.68344855,71.834015,solar effect
7,107.5,0.21755409,0.18062383,0.6277647,68.93778,solar effect
7,108.5,0.2082749,0.16991699,0.5870398,65.357666,solar effect
7,109.5,0.19971167,0.16194531,0.5577306,62.537487,solar effect
7,110.5,0.19265042,0.15560894,0.53574085,60.371346,solar effect
7,111.5,0.18623456,0.15005952,0.517172,58.40124,solar effect
7,112.5,0.18036032,0.14527005,0.5017249,56.746105,solar effect
7,113.5,0.1751185,0.14104357,0.48803636,55.244137,solar effect
7,114.5,0.17058581,0.13739783,0.47615626,53.868797,solar effect
